country,country_code,region,incomeID,income,population
Denmark,DNK,Europe & Central Asia,HIC,High income,5404523
Djibouti,DJI,Middle East & North Africa,LMC,Lower middle income,771603
Dominica,DMA,Latin America & Caribbean ,UMC,Upper middle income,70382
Dominican Republic,DOM,Latin America & Caribbean ,UMC,Upper middle income,8974444
Ecuador,ECU,Latin America & Caribbean ,UMC,Upper middle income,13596388
"Egypt, Arab Rep.",EGY,Middle East & North Africa,LMC,Lower middle income,74172073
El Salvador,SLV,Latin America & Caribbean ,LMC,Lower middle income,6023797
Equatorial Guinea,GNQ,Sub-Saharan Africa ,UMC,Upper middle income,716949
Eritrea,ERI,Sub-Saharan Africa ,LIC,Low income,2719803
Estonia,EST,Europe & Central Asia,HIC,High income,1362550
Eswatini,SWZ,Sub-Saharan Africa ,LMC,Lower middle income,1026286
Ethiopia,ETH,Sub-Saharan Africa ,LIC,Low income,74239505
Faroe Islands,FRO,Europe & Central Asia,HIC,High income,47600
Fiji,FJI,East Asia & Pacific,UMC,Upper middle income,817860
Finland,FIN,Europe & Central Asia,HIC,High income,5228172
France,FRA,Europe & Central Asia,HIC,High income,62704895
French Polynesia,PYF,East Asia & Pacific,HIC,High income,255992
Gabon,GAB,Sub-Saharan Africa ,UMC,Upper middle income,1353795
"Gambia, The",GMB,Sub-Saharan Africa ,LIC,Low income,1496527
Georgia,GEO,Europe & Central Asia,UMC,Upper middle income,3927340
Germany,DEU,Europe & Central Asia,HIC,High income,82516260
Ghana,GHA,Sub-Saharan Africa ,LMC,Lower middle income,21272323
Gibraltar,GIB,Europe & Central Asia,HIC,High income,32928
Greece,GRC,Europe & Central Asia,HIC,High income,10955141
Greenland,GRL,Europe & Central Asia,HIC,High income,56911
Grenada,GRD,Latin America & Caribbean ,UMC,Upper middle income,104347
Guam,GUM,East Asia & Pacific,HIC,High income,158101
Guatemala,GTM,Latin America & Caribbean ,UMC,Upper middle income,12682108
Guinea,GIN,Sub-Saharan Africa ,LIC,Low income,8925743
Guinea-Bissau,GNB,Sub-Saharan Africa ,LIC,Low income,1313492
Guyana,GUY,Latin America & Caribbean ,UMC,Upper middle income,745737
Haiti,HTI,Latin America & Caribbean ,LIC,Low income,9047077
Honduras,HND,Latin America & Caribbean ,LMC,Lower middle income,7282953
"Hong Kong SAR, China",HKG,East Asia & Pacific,HIC,High income,6783500
Hungary,HUN,Europe & Central Asia,HIC,High income,10107146
Iceland,ISL,Europe & Central Asia,HIC,High income,292074
India,IND,South Asia,LMC,Lower middle income,1129623456
Indonesia,IDN,East Asia & Pacific,UMC,Upper middle income,223285676
"Iran, Islamic Rep.",IRN,Middle East & North Africa,UMC,Upper middle income,68951281
Iraq,IRQ,Middle East & North Africa,UMC,Upper middle income,26313838
Ireland,IRL,Europe & Central Asia,HIC,High income,4070262
Isle of Man,IMN,Europe & Central Asia,HIC,High income,79520
Israel,ISR,Middle East & North Africa,HIC,High income,6809000
Italy,ITA,Europe & Central Asia,HIC,High income,57685327
Jamaica,JAM,Latin America & Caribbean ,UMC,Upper middle income,2725015
Japan,JPN,East Asia & Pacific,HIC,High income,127761000
Jordan,JOR,Middle East & North Africa,UMC,Upper middle income,5580244
Kazakhstan,KAZ,Europe & Central Asia,UMC,Upper middle income,15012985
Kenya,KEN,Sub-Saharan Africa ,LMC,Lower middle income,35635271
Kiribati,KIR,East Asia & Pacific,LMC,Lower middle income,90499
"Korea, Dem. People’s Rep.",PRK,East Asia & Pacific,LIC,Low income,23732731
"Korea, Rep.",KOR,East Asia & Pacific,HIC,High income,48082519
Kosovo,XKX,Europe & Central Asia,UMC,Upper middle income,1704622
Kuwait,KWT,Middle East & North Africa,HIC,High income,2200492
Kyrgyz Republic,KGZ,Europe & Central Asia,LMC,Lower middle income,5104700
Lao PDR,LAO,East Asia & Pacific,LMC,Lower middle income,5662208
Latvia,LVA,Europe & Central Asia,HIC,High income,2263122
Lebanon,LBN,Middle East & North Africa,UMC,Upper middle income,4569378
Lesotho,LSO,Sub-Saharan Africa ,LMC,Lower middle income,2005940
Liberia,LBR,Sub-Saharan Africa ,LIC,Low income,3135651
Libya,LBY,Middle East & North Africa,UMC,Upper middle income,5710154
Liechtenstein,LIE,Europe & Central Asia,HIC,High income,34452
Lithuania,LTU,Europe & Central Asia,HIC,High income,3377075
Luxembourg,LUX,Europe & Central Asia,HIC,High income,458095
"Macao SAR, China",MAC,East Asia & Pacific,HIC,High income,471597
Madagascar,MDG,Sub-Saharan Africa ,LIC,Low income,17802997
Malawi,MWI,Sub-Saharan Africa ,LIC,Low income,12301838
Malaysia,MYS,East Asia & Pacific,UMC,Upper middle income,25190652
Maldives,MDV,South Asia,UMC,Upper middle income,311265
Mali,MLI,Sub-Saharan Africa ,LIC,Low income,12369070
Malta,MLT,Middle East & North Africa,HIC,High income,401268
Marshall Islands,MHL,East Asia & Pacific,UMC,Upper middle income,54476
Mauritania,MRT,Sub-Saharan Africa ,LMC,Lower middle income,2939247
Mauritius,MUS,Sub-Saharan Africa ,HIC,High income,1221003
